Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fear_greed_index,hash_rate,tx_count,miners_revenue,time_frame,pct_change,log_return,close_norm
2024-09-20,-0.6268411238839281,-0.6382976387345415,-0.6178067774871918,-0.6307567450783477,-0.4605387745961578,XRP,425568293.45948,682718,0.146156660507699,54.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-0.3408897221748752,-0.0034147207501893,0.0768130364473193
2024-09-21,-0.6289085995417341,-0.6183189233860387,-0.6137339285505466,-0.6177395337738787,-0.5541794582544664,XRP,367209754.83751,655835,0.0321837164884502,54.0,0.0809517878518583,1.5131604868909685,-1.550081831877698,1d,2.154951257054916,0.0213206045566356,0.0807314342579923
2024-09-22,-0.6157801291146656,-0.6261106223719548,-0.6166277949002682,-0.6284838986601071,-0.5062353262905439,XRP,398730889.39351,710524,-0.0184675813157207,52.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-1.741168591997333,-0.0175650521739716,0.0774972011444209
2024-09-23,-0.6266343763181474,-0.635500618585751,-0.6153416320781696,-0.6309633674800058,-0.6200940730542387,XRP,316407006.26065,585458,-0.0457344118627077,50.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-0.408928267166464,-0.0040976666521656,0.0767508396566737
2024-09-24,-0.629218720890405,-0.638397532311284,-0.6124477657284482,-0.6243514506269423,-0.6199331678135871,XRP,316007195.06421,569126,-0.097439064047833,54.0,0.4459729069975787,1.156160189840877,-0.9763047354514208,1d,1.09495295124038,0.0108900174395058,0.078741136957333
2024-09-25,-0.6226027987854257,-0.635500618585751,-0.6112687831415246,-0.63282296909493,-0.6828045136154023,XRP,272818700.6786,497483,0.0809690722463594,59.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-1.3877136571331827,-0.0139743242026003,0.0761910685408632
2024-09-26,-0.6309760751995401,-0.6348013635485534,-0.6203791031313888,-0.624971317831917,-0.5246438690282756,XRP,383237208.29736,641645,-0.0562378598327942,50.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,1.3042732109147082,0.0129584080976151,0.0785545465853962
2024-09-27,-0.6232230414827675,-0.6340022149346134,-0.6111616029063497,-0.6268309194468411,-0.4666634536796657,XRP,424544586.72268,593623,0.1169336003960829,61.0,-0.0763113318668831,0.0168701124684863,-1.244446665689715,1d,-0.3049296967643666,-0.0030539555463123,0.0779947754695857
2024-09-28,-0.6249803957919026,-0.6051329712560268,-0.6080533760862783,-0.6008998080387326,0.452996504748707,XRP,1109388335.09682,1389088,0.1118173076885909,64.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,4.265080713678837,0.0417663233527149,0.0858004726956089
2024-09-29,-0.5989302025035462,-0.5650756469822786,-0.5839378231719317,-0.5723859166098961,0.630852933914782,XRP,1292266432.80332,1539741,0.146156660507699,63.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,4.498044328552786,0.0439981706823513,0.094383629804702
2024-09-30,-0.570502412208713,-0.5761638340006977,-0.5830803812905327,-0.6032759656578024,0.3460722567019076,XRP,1071653599.72635,1425342,0.146156660507699,61.0,-0.0763113318668831,2.033715154092933,-1.4250165311027023,1d,-4.663131628197137,-0.0477535837007182,0.0850852096031844
2024-10-01,-0.6014111732929136,-0.5969416979631407,-0.6168421553706179,-0.6184627121796826,0.9466680553381068,XRP,1467789144.40163,2069230,0.146156660507699,50.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-2.404711271061666,-0.0243409649540315,0.0805137454907326
2024-10-02,-0.6167104931606784,-0.6246122187208171,-0.6705394531932297,-0.6791063870663747,0.5666761839770807,XRP,1114454855.4194,1712161,-0.3194259758740752,42.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-9.839088166275555,-0.1035742028014511,0.0622589874362482
2024-10-03,-0.6772875299343958,-0.6869458106081457,-0.6920826804633792,-0.6961527352031792,0.4492825188431765,XRP,949174640.97194,1494072,-0.314339779006039,37.0,0.6549365642186517,1.8717034826557144,-1.0756293875977665,1d,-3.0674846625767027,-0.0311551677797956,0.057127752207986
2024-10-04,-0.6943442041112958,-0.6924399573289841,-0.6835082616493894,-0.6833421463003685,-0.3436292927629329,XRP,455998971.34349,802424,-0.5140557696349629,41.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,2.3782125047947966,0.0235037354710225,0.0609839532280134
2024-10-05,-0.6815258550328982,-0.695936232514972,-0.6717184357801533,-0.6881977727393371,-0.6965827581210821,XRP,237520609.06134,508350,-0.356233187528562,49.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-0.8804795803671883,-0.0088437870603378,0.0595223286478417
2024-10-06,-0.6863844228287425,-0.6940382545568643,-0.6695748310766558,-0.6837553911036851,-0.7687566426311654,XRP,192310560.0534,399442,0.1225615223743241,50.0,0.4460085939084983,4.127454527063444,-1.0699801726634164,1d,0.8127008127008173,0.0080941618378279,0.0608595596467222
2024-10-07,-0.6819393501644595,-0.6852476198035231,-0.6691461101359563,-0.6891275735467992,-0.433995813578365,XRP,409102744.98633,779721,-0.2071383988643532,50.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-0.9748781402324712,-0.009796611884882,0.0592424430899365
2024-10-08,-0.6873147868747552,-0.6949372967475469,-0.677077447538897,-0.686441482325242,-0.6167578935867862,XRP,287117415.07128,624550,0.0748596168368247,49.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.4922377887164098,0.0049103025950207,0.0600510013683294
2024-10-09,-0.6847304423024977,-0.6965355939754272,-0.677077447538897,-0.693363332780793,-0.6946651683707196,XRP,238128905.55016,560704,0.146156660507699,49.0,-0.2909958543613106,1.2222131705867054,-1.7520773342873055,1d,-1.2622456669178717,-0.0127027966499319,0.0579674088817017
2024-10-10,-0.6915531119732576,-0.6862465555709483,-0.6751482033057492,-0.6869580383293877,-0.4162150970208143,XRP,415795033.07234,822069,-0.0079039416667225,39.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,1.1829803472619638,0.0117603783349636,0.0598955093917153
2024-10-11,-0.6851439374340589,-0.6893432564499662,-0.667645586843508,-0.678383208660571,-0.6531828537360785,XRP,267965365.46557,535924,-0.0165414475905473,32.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,1.565151800867426,0.0155302962344141,0.0624766762035078
2024-10-12,-0.6765639134541638,-0.6879447463755709,-0.6616434936737151,-0.6779699638572544,-0.822561614656816,XRP,160391531.02149,467284,0.146156660507699,49.0,0.3379350564420189,4.044842303233703,-1.016611431236911,1d,0.0742666171555939,0.0007423905314986,0.0626010697847991
2024-10-13,-0.6760470445397122,-0.6917407022917865,-0.672790238131902,-0.6856149927186093,-0.7634072755099404,XRP,195493860.86905,413190,-0.2283559656807171,50.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-1.3729128014842384,-0.0138242440699069,0.0602997885309117
2024-10-14,-0.6836967044735947,-0.6786546437385171,-0.6692532903711311,-0.6682587109793174,-0.5605582745657163,XRP,330090483.87224,599369,0.1070320692151131,48.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,3.160270880361171,0.031113620849069,0.0655243189451424
2024-10-15,-0.6664332827309141,-0.6755579428594992,-0.6658235228455351,-0.6753871838365265,-0.303591516740494,XRP,496973306.94781,824072,0.146156660507699,65.0,0.8092776361745095,2.7791216972556803,-0.6152259224590373,1d,-1.2582056892779026,-0.012661881247114,0.0633785296678691
2024-10-16,-0.6735660737503449,-0.6771562400873795,-0.6594998889702176,-0.6685686445818048,-0.5845286846498423,XRP,317224292.01638,639253,0.146156660507699,73.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,1.218836565096959,0.0121146856110254,0.065431023759174
2024-10-17,-0.6668467778624751,-0.6645696494178227,-0.6547839586225233,-0.6729077150166276,-0.2587027526474154,XRP,536335954.97895,939573,0.146156660507699,71.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-0.7662835249042099,-0.0076923456231556,0.0641248911556163
2024-10-18,-0.6710851029609776,-0.678055282278062,-0.6571419237963704,-0.6702216237950707,-0.6207680370805354,XRP,293656664.17752,640728,0.146156660507699,73.0,0.084135205816832,0.3361096740075703,-1.057914180698195,1d,0.4780290494576178,0.0047689011876781,0.0649334494340092
2024-10-19,-0.6683973846058298,-0.6811519831570799,-0.6560701214446216,-0.6730110262174569,-0.8390691666886463,XRP,151386130.82424,330627,0.146156660507699,72.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-0.4940530649588326,-0.0049527754182229,0.0640937927602935
2024-10-20,-0.6711884767438681,-0.6822508125012477,-0.6604645110867915,-0.6683620221801465,-0.7554428211069284,XRP,204672256.22054,456716,0.146156660507699,73.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.8275101140125196,0.0082410502116325,0.0654932205498196
2024-10-21,-0.6664332827309141,-0.6700637961386608,-0.6551054993280478,-0.6719779142091656,-0.3941419735854355,XRP,444185593.64486,770128,0.146156660507699,72.0,1.3531344589427683,5.441621533961324,-0.1105854085695957,1d,-0.6383366770016496,-0.0064038275747002,0.0644047767135215
2024-10-22,-0.670154738914965,-0.6814516638873076,-0.6685030287249071,-0.6835487687020269,-0.5335185919910982,XRP,344524828.82812,635103,0.1421840096995287,70.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-2.05580029368575,-0.0207722602338885,0.0609217564373678
2024-10-23,-0.6817326025986788,-0.6970350618591398,-0.6870452094101602,-0.6917103535675272,-0.5986966141448865,XRP,295096493.03407,685484,0.146156660507699,71.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-1.4805097451274452,-0.0149157867760116,0.0584649832068665
2024-10-24,-0.6900025052299031,-0.6973347425893673,-0.6734333195429512,-0.6849951255136345,-0.7572486082708044,XRP,198633985.2516,502138,0.146156660507699,69.0,0.6927464788766278,3.273676937495981,-0.5789213389816898,1d,1.2364466425718312,0.0122886507181866,0.0604863789028486
2024-10-25,-0.6831798355591431,-0.698833146240505,-0.7143761693797529,-0.7165050417665154,-0.3681313823777331,XRP,429262752.52934,815099,0.146156660507699,72.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-5.730928222472754,-0.0590170270533815,0.0510013683293942
2024-10-26,-0.7147088393406854,-0.7157151607099899,-0.700764279512544,-0.7045209424703378,-0.7653873274838449,XRP,186244545.17102,457674,-0.0772146599335115,73.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,2.3121387283236983,0.0228581380760501,0.0546087821868391
2024-10-27,-0.7028208543083007,-0.713217821291427,-0.6876882908212094,-0.7010083616421476,-0.8924765607015137,XRP,110209526.03838,329077,0.146156660507699,74.0,1.220325507399676,3.5423046586350044,-0.3144693392179485,1d,0.6623806740697624,0.0066019657268816,0.0556661276278144
