Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame,pct_change,log_return,Close_norm
2025-07-01,107087.3,107499.9,105182.6,105637.9,120434.401,BTC,12798966761.0981,2043731,2.165333333333333e-05,64.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-1.3535672730872197,-0.0136281150763517,0.8241907382274468
2025-07-02,105637.9,109690.4,105010.0,108800.0,177567.261,BTC,19179636772.5586,2621458,3.113333333333333e-05,63.0,621827764.132736,451146.4942196532,38539060.71746736,1d,2.9933385650415367,0.0294941260242726,0.8534645087587092
2025-07-03,108800.0,110484.0,108480.6,109545.2,141487.997,BTC,15492329480.4931,2342574,4.487e-05,73.0,877919914.3653797,361041.0,52184667.003364585,1d,0.684926470588243,0.0068259150503906,0.860363346176848
2025-07-04,109545.1,109732.3,107200.0,107935.4,132305.847,BTC,14316422935.2606,1957162,4.012e-05,73.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-1.4695303856307795,-0.0148043494581323,0.8454603020602083
2025-07-05,107935.3,108368.1,107688.3,108153.4,36660.948,BTC,3960654262.1664,734951,2.7086666666666663e-05,67.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.2019726614252537,0.0020176897086548,0.8474784804782897
2025-07-06,108153.4,109684.7,107743.4,109145.8,72388.603,BTC,7864421489.3231,1278877,1.5446666666666666e-05,66.0,930246266.8772236,506401.0,54687593.79042116,1d,0.9175855775223064,0.0091340133757324,0.8566658211301429
2025-07-07,109145.8,109667.3,107456.0,108203.9,106397.578,BTC,11536683412.6303,1788546,3.356333333333334e-05,73.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.8629741135252167,-0.0086671929733971,0.847945994286148
2025-07-08,108203.9,109180.0,107400.0,108873.1,95156.027,BTC,10320330229.2738,1658291,3.079e-05,65.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.6184619962866567,0.0061655736897912,0.8541412465677081
2025-07-09,108873.2,112036.8,108273.5,111199.9,167834.731,BTC,18458201635.8988,2548622,3.5806666666666664e-05,66.0,953502423.549154,444726.0,56605834.9159897,1d,2.137167032076781,0.02114649872062,0.875682060986019
2025-07-10,111199.8,117500.0,110432.2,115979.2,225570.213,BTC,25573716456.3733,3420723,6.810333333333333e-05,71.0,621827764.132736,451146.4942196532,38539060.71746736,1d,4.297935519726193,0.0420813821480131,0.9199273826077456
2025-07-11,115979.2,118882.8,115186.7,117500.0,199819.357,BTC,23468288934.0047,3481508,0.0001,71.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.3112696069640162,0.0130274689006985,0.9340064914986548
2025-07-12,117500.0,118176.9,116862.4,117389.3,63722.472,BTC,7488784312.8489,1330505,0.0001,79.0,918141001.6128464,395744.0,56609152.58132751,1d,-0.0942127659574465,-0.0009425717407806,0.9329816642010328
2025-07-13,117389.4,119655.0,117164.3,119038.3,90052.381,BTC,10670541370.9112,1810973,0.0001,74.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.4047276881283155,0.0139495282253971,0.9482476101249604
2025-07-14,119038.3,123300.0,118862.6,119816.5,221556.12,BTC,26804448428.8877,4034670,9.350333333333332e-05,74.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.6537391747025945,0.0065161156779241,0.9554519516155612
2025-07-15,119816.5,119919.4,115678.1,117738.5,269977.446,BTC,31656599892.9497,4738657,0.0001,73.0,1029424416.010608,418737.0,62994556.22886511,1d,-1.7343187290565163,-0.0174953421632435,0.9362144527496292
2025-07-16,117738.6,120100.0,117017.1,118590.7,159165.948,BTC,18903224038.5254,3160880,0.0001,70.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.7238074206822764,0.0072120050657125,0.9441038639784776
2025-07-17,118590.7,120951.5,117412.8,119176.6,164274.401,BTC,19529125659.9034,3301670,0.0001,74.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.4940522317517404,0.0049283579861142,0.9495279499195508
2025-07-18,119176.5,120846.1,116788.9,117896.4,162246.906,BTC,19250655213.5986,3368152,0.0001,73.0,903884853.0824848,452162.0,55577251.70091847,1d,-1.0742041642403,-0.0108001539093399,0.9376762434478634
2025-07-19,117896.5,118456.0,117245.9,117814.4,52531.193,BTC,6197160791.5471,1248912,0.0001,74.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.0695525902402405,-0.0006957678927564,0.9369171121162916
2025-07-20,117814.3,118856.6,116370.1,117216.0,82380.582,BTC,9710161747.2649,1751382,0.0001,72.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.507917538093805,-0.0050921182368369,0.9313773049356496
2025-07-21,117216.1,119720.6,116454.1,117330.2,141885.848,BTC,16757943321.4359,2862908,0.0001,71.0,941546721.960922,384438.0,55845562.11065112,1d,0.0974269724269616,0.0009737954315561,0.932434534180351
2025-07-22,117330.2,120300.1,115865.0,119993.7,186832.45,BTC,22133221784.4276,3400863,0.0001,72.0,621827764.132736,451146.4942196532,38539060.71746736,1d,2.270089030786626,0.0224470593759127,0.9570924159076896
2025-07-23,119993.7,120146.5,117250.0,118713.5,136986.897,BTC,16199890830.6418,2483435,0.0001,74.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-1.066889345023947,-0.0107262141575297,0.9452407094360024
2025-07-24,118713.4,119469.9,117050.2,118294.3,137377.613,BTC,16275419265.9469,2566930,0.0001,71.0,922715787.5217032,409736.0,55738019.27735036,1d,-0.353119063964924,-0.0035374400094641,0.9413598819458204
2025-07-25,118294.4,118410.8,114667.3,117583.5,260386.754,BTC,30217394710.2149,4482676,0.0001,70.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.600874260213724,-0.006026867738626,0.934779509378975
2025-07-26,117583.4,118300.0,117114.2,117889.2,57218.604,BTC,6739341628.4194,1160574,0.0001,72.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.2599854571432081,0.0025964807958212,0.9376095880138716
2025-07-27,117889.3,119766.0,117800.8,119423.4,75978.959,BTC,9021870261.9343,1528886,0.0001,73.0,869131963.3112651,472894.0,52743508.35291669,1d,1.3013914760639622,0.0129299613623731,0.9518127500735988
2025-07-28,119423.5,119812.0,117388.0,118041.4,106712.329,BTC,12646588023.95,2373905,0.0001,75.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-1.1572271430892125,-0.0116397512657328,0.9390186098268624
2025-07-29,118041.5,119258.7,116923.0,117897.0,115263.463,BTC,13605158270.3445,2551661,0.0001,73.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.1223299621996965,-0.001224048463747,0.9376817980673628
2025-07-30,117897.1,118763.5,115700.0,117771.0,124917.857,BTC,14671863277.403,2695165,0.0001,74.0,869131963.3112651,423333.0,52500144.0726225,1d,-0.1068729484210773,-0.0010693009827871,0.9365153279725084
2025-07-31,117771.1,118910.0,115373.9,115697.3,135037.467,BTC,15883505625.6346,2653586,8.564666666666667e-05,72.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-1.7607900077268537,-0.0177647632311904,0.9173176372129882
2025-08-01,115697.3,116000.0,112660.0,113244.8,221282.099,BTC,25374879723.7736,4671690,1.9406666666666665e-05,65.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-2.119755603631201,-0.0214254505188137,0.8946131300095724
2025-08-02,113244.8,114000.0,111910.0,112508.8,102459.448,BTC,11582327925.5756,2253136,3.380333333333333e-05,55.0,919884194.7454996,309743.0,52630766.709140696,1d,-0.6499194665008923,-0.0065204063866775,0.8877994634237564
2025-08-03,112508.8,114730.0,111850.0,114150.8,63183.869,BTC,7180260356.7661,1586907,5.89e-05,53.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.4594413948064489,0.0144889404661306,0.9030006054535256
2025-08-04,114150.9,115686.0,114053.8,115002.1,83328.591,BTC,9566449201.0507,2122581,4.606333333333334e-05,64.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.7457678789811295,0.0074300077924583,0.910881684753125
2025-08-05,115002.1,115073.3,112582.4,114069.6,119316.428,BTC,13578532103.2508,2692070,6.824666666666668e-05,60.0,875475992.2405444,411399.0,49657668.28134079,1d,-0.8108547583044134,-0.0081416006511722,0.902248880281286
2025-08-06,114069.6,115674.2,113304.5,114941.0,98598.67,BTC,11289146520.5982,2207330,7.578333333333334e-05,54.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.7639195719104874,0.0076101648182378,0.9103160393341122
2025-08-07,114941.0,117580.0,114211.4,117419.9,134409.055,BTC,15603976236.9276,2477601,6.230666666666666e-05,62.0,621827764.132736,451146.4942196532,38539060.71746736,1d,2.156671683733391,0.0213374457588516,0.9332649497954972
2025-08-08,117419.9,117591.8,115850.0,116628.2,89828.611,BTC,10476168967.7768,2041990,4.035e-05,74.0,870485436.2761792,474798.0,50684514.53970229,1d,-0.674246869568107,-0.0067653018300755,0.9259356293661624
2025-08-09,116628.2,117906.7,116304.0,116422.1,77924.534,BTC,9109077804.5382,1513938,7.691000000000001e-05,67.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.1767154084518107,-0.0017687173432481,0.9240276175681504
2025-08-10,116422.1,119291.9,116413.2,119255.3,130331.779,BTC,15402998283.6403,2420657,9.949666666666668e-05,69.0,621827764.132736,451146.4942196532,38539060.71746736,1d,2.433558576936856,0.0240441934065888,0.9502565308438764
2025-08-11,119255.3,122450.0,118050.0,118641.9,217088.254,BTC,26140833129.3272,4260404,0.0001,70.0,945836287.6602162,449633.0,55915983.724809095,1d,-0.5143586909764242,-0.0051568606890351,0.9445778581757518
2025-08-12,118641.8,120270.0,118154.3,120081.0,125708.555,BTC,14984075258.1463,2609039,8.843666666666666e-05,68.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.212977877124355,0.0120568025357748,0.9579006130448388
2025-08-13,120080.9,123715.9,118829.0,123323.9,188073.873,BTC,22796282824.2241,3654672,9.041e-05,73.0,621827764.132736,451146.4942196532,38539060.71746736,1d,2.700593765874704,0.0266477124864237,0.9879224056686744
2025-08-14,123323.9,124545.6,117004.0,118242.2,259801.57,BTC,31188419054.0993,4770691,0.0001,75.0,1042350194.56432,484085.0,61609577.20507048,1d,-4.120612468467177,-0.0420791643070075,0.9408775558192972
2025-08-15,118242.2,119184.0,116736.3,117279.2,120542.357,BTC,14214818128.9724,2714933,4.5503333333333335e-05,60.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.8144300427427753,-0.0081776464187506,0.93196239152291
2025-08-16,117279.1,117857.1,117089.7,117329.7,46674.42,BTC,5485340879.1925,1042735,8.713666666666667e-05,56.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.0430596388788506,0.0004305037087676,0.9324299053307684
2025-08-17,117329.8,118558.0,117121.6,117353.8,54386.804,BTC,6411151083.0242,1143753,4.916e-05,64.0,978007589.9615842,440879.0,57118058.45187763,1d,0.0205404087797012,0.0002053829952656,0.9326530158806572
2025-08-18,117353.9,117499.4,114605.0,116183.6,147219.779,BTC,17039158070.2288,3078165,2.4866666666666667e-05,60.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.9971556097885136,-0.0100216050519774,0.9218196563171762
2025-08-19,116183.6,116687.7,112666.6,112824.2,141024.287,BTC,16131720046.5887,3133574,5.522e-05,56.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-2.8914580026785264,-0.0293408434238821,0.8907193417405586
2025-08-20,112824.1,114569.0,112301.8,114220.5,130522.37,BTC,14819274146.3868,2930095,3.614333333333333e-05,44.0,907230724.8985746,424869.0,51965866.520033605,1d,1.2375890987926352,0.0122999356833589,0.9036458670853617
2025-08-21,114220.5,114777.0,111944.0,112462.2,96406.356,BTC,10907840294.1414,2397213,5.438000000000001e-05,50.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-1.5393909149408411,-0.0155136255603806,0.8873680546426436
2025-08-22,112462.2,117397.4,111625.9,116897.5,199447.977,BTC,22883791440.7028,3835737,7.721e-05,50.0,621827764.132736,451146.4942196532,38539060.71746736,1d,3.943814010396385,0.038680317265687,0.9284287277514344
2025-08-23,116897.5,116988.0,114510.0,115377.1,78419.415,BTC,9054235281.6278,1536323,9.903666666666667e-05,60.0,980001769.6141684,467080.0,55282142.914973006,1d,-1.3006266173356984,-0.0130915882753506,0.9143533219401916
2025-08-24,115377.1,115640.0,110484.0,113446.3,133388.002,BTC,15148067971.3495,2638475,0.0001,53.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-1.6734689986141138,-0.0168762969662615,0.8964785563914229
2025-08-25,113446.2,113621.3,109219.8,110064.0,204839.785,BTC,22818722034.3374,4182903,9.448000000000002e-05,47.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-2.981410588093225,-0.0302675824242439,0.8651662405039151
2025-08-26,110064.1,112330.0,108559.7,111709.9,145041.438,BTC,15983443440.8915,3465884,6.140666666666667e-05,48.0,967107009.4876657,456605.0,56297907.75003928,1d,1.495402674807389,0.0148433176236913,0.8804034875604295
2025-08-27,111710.0,112568.5,110306.9,111194.9,114205.122,BTC,12739237648.6494,2613099,3.600333333333333e-05,51.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.4610155411472028,-0.0046208149519738,0.8756357724901914
2025-08-28,111194.9,113429.0,110811.0,112507.3,97630.277,BTC,10988621821.8074,2252826,7.500666666666666e-05,48.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.1802699584243517,0.011733590972795,0.8877855768750081
2025-08-29,112507.3,112585.7,107411.4,108332.4,179725.172,BTC,19688668760.0572,3720115,3.587e-05,50.0,1063817710.4364324,596157.0,58475677.66527168,1d,-3.710781433738086,-0.0378138301882711,0.8491356086289161
2025-08-30,108332.4,108879.6,107281.0,108757.9,60656.883,BTC,6572709736.3117,1397811,7.848000000000001e-05,39.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.3927726146563781,0.0039200327686304,0.8530747596238412
2025-08-31,108758.0,109439.9,108021.0,108208.4,70149.546,BTC,7626942442.611,1474441,4.5056666666666665e-05,48.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.5052506530560108,-0.0050653135984223,0.8479876539323928
2025-09-01,108208.4,109874.8,107211.5,109187.9,150280.626,BTC,16311045147.8882,3269303,6.541e-05,46.0,1038028190.1834284,598757.0,58509888.881842114,1d,0.9051977480491358,0.009011253900468,0.8570555702650109
2025-09-02,109187.9,111742.1,108333.0,111188.0,175961.356,BTC,19401297224.9434,3533098,7.369e-05,49.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.831796380368167,0.0181522110137425,0.8755718943659494
2025-09-03,111187.9,112541.2,110486.9,111659.8,105504.421,BTC,11770759661.8071,2363045,2.746e-05,55.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.4243263661546148,0.0042342864045813,0.8799396768322375
2025-09-04,111659.7,112136.8,109269.1,110679.4,122300.369,BTC,13516026898.7113,2639637,4.7113333333333335e-05,51.0,902633208.8551546,395181.0,50416444.85079042,1d,-0.8780241411860068,-0.0088190148584789,0.8708634285703705
2025-09-05,110679.5,113344.3,110153.3,110614.9,193375.404,BTC,21608268964.6591,3788859,8.468000000000001e-05,48.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.0582764272303637,-0.0005829341454026,0.870266306974195
2025-09-06,110614.8,111256.2,109850.0,110135.3,46282.516,BTC,5113475710.4939,1043405,4.022333333333333e-05,48.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.4335763084358346,-0.0043451897628845,0.865826314454416
2025-09-07,110135.2,111559.5,110120.5,111076.0,53840.584,BTC,5973071292.8472,1136788,4.183333333333334e-05,44.0,1041437128.988808,586276.0,53775093.15064921,1d,0.8541312367605913,0.0085050417452633,0.8745350320594122
2025-09-08,111075.5,112867.6,110566.5,112012.6,99117.859,BTC,11088708293.0036,2062136,7.799e-05,51.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.8432064532392314,0.0083967132600471,0.8832057930978299
2025-09-09,112012.7,113238.0,110714.9,111499.9,137275.133,BTC,15364017571.6421,2548235,7.933e-05,48.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.4577163640519077,-0.0045876709286594,0.8784593707356723
2025-09-10,111499.9,114287.9,110855.8,113896.8,151901.539,BTC,17159405921.2062,2703708,6.943666666666667e-05,49.0,1149638389.1434891,643239.0,61107717.83874749,1d,2.149688026626051,0.0212690811996675,0.9006491498654856
2025-09-11,113896.8,115439.0,113340.7,115427.0,113066.078,BTC,12912039322.4644,2206093,4.484e-05,54.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.3434969200188274,0.0133455202732744,0.9148152811285506
2025-09-12,115427.0,116605.7,114681.5,115978.4,119013.718,BTC,13753804629.9552,2321278,5.598666666666667e-05,57.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.4777045232051469,0.0047656713594299,0.9199199764484132
2025-09-13,115978.4,116245.4,115032.0,115862.7,52529.59,BTC,6078193412.4006,1198605,1.278e-05,52.0,953523605.1131293,533108.0,56615798.65069372,1d,-0.0997599553020145,-0.0009980974866406,0.9188488606549636
2025-09-14,115862.7,116118.6,115057.0,115210.0,55087.99,BTC,6368498171.5133,1196136,5.359e-05,55.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.563339193718082,-0.0056493193345533,0.9128063604096348
2025-09-15,115210.0,116759.9,114338.5,115300.6,117911.279,BTC,13585379833.8268,2531767,7.551666666666667e-05,53.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.0786390070306453,0.0007860810276432,0.91364510795403
2025-09-16,115300.5,116910.8,114600.0,116747.3,99446.184,BTC,11513690825.0447,2144042,4.82e-05,52.0,1082012601.5468135,536633.0,59237319.60654769,1d,1.2547202703194982,0.0124691388656537,0.9270382213367748
2025-09-17,116747.3,117266.4,114623.3,116402.5,158125.07,BTC,18348171466.3525,3267980,7.238666666666666e-05,53.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.29533873588512,-0.0029577572133331,0.9238461666645066
2025-09-18,116402.6,117875.2,116033.5,117017.1,107215.717,BTC,12568414009.019,2327863,6.025666666666666e-05,52.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.5279955327420094,0.0052660652345513,0.9295359485716296
