Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame
2024-02-17,52148.7,52192.8,50647.5,51679.4,222342.005,BTC,11434408252.82568,2933206,0.00012013666666666667,76.0,,,,1d
2024-02-18,51679.5,52450.0,51178.0,52175.9,166636.426,BTC,8636668534.04451,2535098,0.00016546666666666669,72.0,,,,1d
2024-02-19,52175.9,52532.9,51688.8,51813.8,196387.978,BTC,10243057368.09604,2984130,0.00018661666666666666,75.0,552511789.8013868,366108.0,45808218.64349052,1d
2024-02-20,51813.7,53090.9,50788.0,52297.4,388913.064,BTC,20209071433.34851,4725341,0.00013877333333333331,72.0,,,,1d
2024-02-21,52297.3,52402.3,50528.4,51877.8,308127.301,BTC,15814919137.63912,3939518,0.00010414,78.0,,,,1d
2024-02-22,51877.9,52130.8,50967.5,51316.9,244144.647,BTC,12596855772.34223,3185280,0.00012012333333333334,74.0,548449203.1116709,365090.0,45627275.608025245,1d
2024-02-23,51316.9,51576.3,50512.7,50771.9,215474.562,BTC,11000943935.5279,2838186,0.00010996999999999999,76.0,,,,1d
2024-02-24,50771.9,51736.6,50611.4,51602.1,104944.457,BTC,5375932540.32768,1581717,0.0001,72.0,,,,1d
2024-02-25,51602.1,52050.0,51300.4,51764.9,122177.26,BTC,6314690489.48664,1737312,0.00013837333333333333,74.0,666264217.113437,418801.0,54200240.79129108,1d
2024-02-26,51764.9,54991.8,50922.5,54511.6,393466.231,BTC,20859521852.00051,4559698,0.00025185,72.0,,,,1d
2024-02-27,54511.7,57780.0,54495.0,57074.5,511475.535,BTC,28943003745.31963,6037486,0.00042916000000000004,79.0,,,,1d
2024-02-28,57074.5,64300.0,56730.1,62487.9,1010118.442,BTC,61121395260.18302,10470544,0.0003464966666666667,82.0,605325416.7676959,413800.0,59287809.13205337,1d
2024-02-29,62487.9,63762.8,60452.0,61203.3,584713.883,BTC,36342923573.76713,7991451,0.0006748633333333332,80.0,,,,1d
2024-03-01,61203.3,63199.0,60844.8,62430.6,299231.827,BTC,18555341528.19973,4242562,0.0005471866666666667,80.0,,,,1d
2024-03-02,62430.6,62513.1,61605.0,62039.9,159283.629,BTC,9880073062.42179,2445321,0.0004899866666666667,80.0,500960510.12181586,339311.0,51776059.72787791,1d
2024-03-03,62039.9,63330.9,61339.5,63178.5,200312.503,BTC,12480586261.48198,2976490,0.00044618,83.0,,,,1d
2024-03-04,63178.5,68600.0,62299.0,68296.4,632882.144,BTC,41606992664.57328,8622486,0.0005517466666666667,82.0,,,,1d
2024-03-05,68296.5,69350.0,59112.0,63747.4,1053025.132,BTC,68785497181.28033,11587828,0.00073359,90.0,658743347.9554589,424347.0,75940656.31789975,1d
2024-03-06,63747.5,67729.5,62829.3,66128.1,534011.813,BTC,35282709655.61008,6780080,0.00039836666666666663,75.0,,,,1d
2024-03-07,66128.0,68101.3,65609.3,66870.0,296092.788,BTC,19831473590.1586,4405527,0.0004183733333333333,82.0,,,,1d
2024-03-08,66870.0,70330.8,66120.0,68180.2,459387.207,BTC,31244040068.19154,5980692,0.00047076333333333334,81.0,607463925.659525,426928.0,68298914.49705783,1d
2024-03-09,68180.2,68608.7,67908.7,68360.1,94899.005,BTC,6480692325.8141,1537614,0.0002560733333333333,84.0,,,,1d
2024-03-10,68360.2,69999.8,68155.0,69001.8,233596.523,BTC,16185393841.67323,3375720,0.0004964666666666667,79.0,,,,1d
2024-03-11,69001.8,72890.0,67000.0,72153.8,474396.897,BTC,33718116318.4871,6424784,0.0006010433333333334,82.0,670577060.7929822,394098.0,78889620.04037066,1d
2024-03-12,72153.9,73370.0,68600.0,71503.2,472072.331,BTC,33679961862.9098,6616949,0.0004590166666666667,81.0,,,,1d
2024-03-13,71503.3,73755.0,71388.1,73127.6,288446.338,BTC,20996680531.98601,4413774,0.00047682,81.0,,,,1d
2024-03-14,73127.6,73881.4,68600.0,71455.5,513901.237,BTC,36716558419.97936,7086199,0.0003380133333333333,88.0,579720256.0482558,329706.0,65996346.708157614,1d
2024-03-15,71455.6,72500.0,65580.0,69552.2,705810.685,BTC,48272589072.43203,9432499,0.00022716333333333333,83.0,,,,1d
2024-03-16,69552.1,70097.6,64750.0,65351.0,333426.129,BTC,22541723738.08737,4728369,0.00018004999999999999,81.0,,,,1d
2024-03-17,65351.0,68972.4,64559.8,68447.9,314890.309,BTC,21028336103.89335,4441202,0.00018563,79.0,609268716.2671757,366109.0,63714127.09892728,1d
2024-03-18,68447.9,69044.4,66601.6,67660.0,317885.916,BTC,21525969323.10516,4929189,0.00025990999999999997,77.0,,,,1d
2024-03-19,67660.0,68178.6,61582.8,61974.1,700466.795,BTC,45022413705.43772,8883840,0.00026668666666666667,79.0,,,,1d
2024-03-20,61974.1,68140.0,60800.0,67876.4,637362.465,BTC,40691118766.89385,8081289,0.00014745,74.0,621787936.4644464,361515.0,61496810.484660126,1d
2024-03-21,67876.4,68293.9,64550.1,65539.9,347218.385,BTC,23114287433.97302,5314298,0.00016405666666666666,78.0,,,,1d
2024-03-22,65539.9,66691.9,62294.0,63826.0,401149.333,BTC,25742798562.87778,5610913,0.00012754666666666667,75.0,,,,1d
2024-03-23,63826.1,66050.0,63020.2,64020.3,239124.0,BTC,15454464441.79797,3255774,0.00010268666666666668,73.0,650999450.2580782,326610.0,67132158.05324538,1d
2024-03-24,64020.4,67700.0,63822.0,67260.9,244179.435,BTC,15988550837.61994,3674436,0.00013617,74.0,,,,1d
2024-03-25,67260.9,71228.3,66427.6,69920.5,395156.191,BTC,27232095366.19894,5616354,0.00023562666666666668,75.0,,,,1d
2024-03-26,69920.6,71649.0,69320.0,70044.1,307861.116,BTC,21669886112.75456,4470979,0.00022358333333333334,81.0,559191835.4780927,317742.0,61065374.79673613,1d
2024-03-27,70044.2,71888.0,68364.8,69532.6,407286.574,BTC,28455795608.20996,5468464,0.00033979666666666665,83.0,,,,1d
2024-03-28,69532.6,71636.2,68941.0,70838.7,241970.822,BTC,17082567361.70556,3688033,0.00027841333333333335,80.0,,,,1d
2024-03-29,70838.8,70976.9,69000.0,69903.6,187970.841,BTC,13153542392.49107,2898786,0.0002462533333333333,79.0,595046224.9834774,449421.0,65030139.07199751,1d
2024-03-30,69903.6,70388.0,69577.2,69642.1,91126.75,BTC,6381178971.24793,1469267,0.0002875033333333333,75.0,,,,1d
2024-03-31,69642.0,71495.5,69608.0,71363.0,132458.79,BTC,9355678962.74715,1955289,0.0003751366666666666,75.0,,,,1d
2024-04-01,71363.0,71388.0,68103.3,69700.0,282812.126,BTC,19638685563.10507,3855192,0.00043706999999999996,79.0,619839817.691122,326410.0,67281578.10449564,1d
2024-04-02,69700.0,69731.6,64603.2,65505.3,499041.572,BTC,33033080048.77764,6306952,0.00012460666666666667,79.0,,,,1d
2024-04-03,65502.4,66940.0,64500.0,65971.9,275041.23,BTC,18154927438.74836,3716045,0.0001,71.0,,,,1d
2024-04-04,65971.8,69329.7,65100.0,68489.9,326385.338,BTC,21993168904.27893,4218217,0.0001,70.0,570252632.2758324,320607.0,60862190.09987233,1d
2024-04-05,68489.8,68787.1,65966.0,67825.7,313547.293,BTC,21110165189.20931,4246122,0.0001,79.0,,,,1d
2024-04-06,67825.8,69708.0,67450.0,68901.6,127343.726,BTC,8691055181.73954,2044067,0.0001,75.0,,,,1d
2024-04-07,68901.5,70395.0,68820.6,69362.7,171783.436,BTC,11941226271.93175,3094007,0.0001,78.0,702485126.7166051,526130.0,75192006.26475267,1d
2024-04-08,69362.7,72890.4,69040.4,71678.4,297237.449,BTC,21244762968.03559,5294493,0.00018396333333333333,76.0,,,,1d
2024-04-09,71678.3,71820.6,68216.0,69189.3,334059.403,BTC,23375265337.43875,5431596,0.00020192999999999999,80.0,,,,1d
2024-04-10,69189.2,71412.2,67546.2,70681.7,337774.756,BTC,23325641513.82547,5376395,0.00011462000000000001,78.0,626404079.729565,531054.0,71054532.68350925,1d
2024-04-11,70681.8,71387.4,69592.6,70055.7,256194.153,BTC,18046895525.55698,4391518,0.00017964999999999998,76.0,,,,1d
2024-04-12,70055.6,71297.0,65102.0,67136.4,415528.149,BTC,28466614548.62947,5589326,0.00016367333333333332,79.0,,,,1d
2024-04-13,67136.4,67975.4,59652.5,63939.7,515005.203,BTC,33367903479.68061,6679641,0.0001,72.0,704281363.3620051,507173.0,76211932.38547996,1d
2024-04-14,63939.7,65822.1,62139.3,65615.9,395770.133,BTC,25338078893.58177,5695785,0.0001,72.0,,,,1d
