Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame
2023-04-18,2074.49,2126.63,2047.64,2103.29,3542599.96,ETH,7413341871.08492,2774522,0.0001,58.0,,,,1d
2023-04-19,2103.29,2104.61,1921.0,1932.83,5712106.365,ETH,11407976091.09683,4126727,6.328333333333333e-05,63.0,330891401.13480145,301722.0,26367118.299820937,1d
2023-04-20,1932.83,1983.22,1905.75,1942.11,4486102.176,ETH,8732216194.09306,3711473,2.9066666666666664e-05,52.0,,,,1d
2023-04-21,1942.1,1956.82,1822.01,1848.0,5520829.389,ETH,10453785961.75719,4357957,8.003666666666666e-05,50.0,,,,1d
2023-04-22,1848.01,1886.5,1839.26,1873.39,2233900.931,ETH,4160733028.8103,2272920,2.5843333333333334e-05,53.0,360804518.3013832,354752.0,25972883.28916762,1d
2023-04-23,1873.4,1882.11,1833.3,1861.3,2624859.049,ETH,4883738761.28466,2665310,-3.299999999999999e-06,56.0,,,,1d
2023-04-24,1861.3,1891.3,1806.0,1841.19,4637382.676,ETH,8559463422.76587,4745194,5.1303333333333334e-05,53.0,,,,1d
2023-04-25,1841.19,1877.6,1797.98,1865.4,4166439.286,ETH,7632322493.54573,3976737,7.779e-05,53.0,302688354.2796839,369843.0,22252108.61633086,1d
2023-04-26,1865.4,1964.7,1782.03,1865.02,7328089.271,ETH,13832491013.22545,5679035,4.597666666666667e-05,56.0,,,,1d
2023-04-27,1865.03,1939.4,1858.55,1907.67,5486808.619,ETH,10425583648.13769,4977700,2.3516666666666665e-05,59.0,,,,1d
2023-04-28,1907.68,1923.63,1873.0,1890.13,3142216.755,ETH,5966985911.23344,3231156,8.389999999999999e-05,64.0,355961504.6329083,483522.0,28310744.88306382,1d
2023-04-29,1890.13,1917.27,1881.1,1907.01,1593882.469,ETH,3028671705.69795,1843721,5.517e-05,64.0,,,,1d
2023-04-30,1907.01,1940.0,1863.9,1868.41,2977980.167,ETH,5678023570.39942,2825844,4.7936666666666665e-05,60.0,,,,1d
2023-05-01,1868.41,1885.56,1805.28,1829.97,3740379.561,ETH,6871929627.84383,3275823,1.8499999999999999e-06,63.0,440714243.83121973,682281.0,35120914.85198403,1d
2023-05-02,1829.97,1882.6,1821.25,1869.2,3065412.118,ETH,5666257518.06199,2920972,6.872666666666666e-05,55.0,,,,1d
2023-05-03,1869.21,1917.29,1841.71,1904.74,4144638.549,ETH,7762176084.36052,3834345,8.690666666666667e-05,64.0,,,,1d
2023-05-04,1904.74,1918.61,1865.72,1876.13,2639262.752,ETH,4990059178.68051,2865588,9.966666666666667e-05,64.0,351888475.1483047,491123.0,29770202.04218574,1d
2023-05-05,1876.14,2004.99,1874.8,1992.56,5053850.5,ETH,9793284393.60356,4405236,6.411666666666666e-05,61.0,,,,1d
2023-05-06,1992.55,2023.66,1850.0,1895.29,4880833.923,ETH,9391662414.45572,4331607,6.898000000000001e-05,60.0,,,,1d
2023-05-07,1895.3,1933.0,1865.32,1869.5,3198475.667,ETH,6096392897.08655,3623305,2.8333333333333335e-05,64.0,331705159.5675005,607883.0,36809638.64957858,1d
2023-05-08,1869.51,1883.17,1810.0,1846.54,4905366.653,ETH,9079925715.77355,4414300,3.43e-05,60.0,,,,1d
2023-05-09,1846.54,1863.0,1830.05,1845.8,2509784.607,ETH,4627725853.77786,2740860,8.281666666666667e-05,51.0,,,,1d
2023-05-10,1845.8,1887.0,1785.74,1839.86,4903103.427,ETH,9053981839.2211,4212083,4.4829999999999996e-05,52.0,405682569.25521636,671668.0,38971069.437675245,1d
